run_id,seed,method,pa,tids,mttf,accuracy,energy,cmvi,nfg,nbr,nam,false_good_evictions,bad_nodes_retained,audit_mismatch_events,audit_count,audit_update_count,collective_update_count
6,48,TA-QTCID,1.0,50,12550.0,0.9977539965649359,6469.0498210880905,17.0,17,0,0,17,0,0,0,0,7569
7,49,TA-QTCID,1.0,50,10600.0,0.9979326978293327,6029.251612231135,18.0,18,0,0,18,0,0,0,0,8707
8,50,TA-QTCID,1.0,50,11350.0,0.998186215235792,6185.327548798174,15.0,14,1,0,14,1,0,0,0,8270
9,51,TA-QTCID,1.0,50,11750.0,0.9989665417904664,6212.946005823091,8.0,8,0,0,8,0,0,0,0,7741
10,52,TA-QTCID,1.0,50,11200.0,0.9979607443283202,6064.249499432743,16.0,16,0,0,16,0,0,0,0,7846
11,53,TA-QTCID,1.0,50,12750.0,0.9978570528173453,6651.57695899345,17.0,17,0,0,17,0,0,0,0,7933
12,54,TA-QTCID,1.0,50,11200.0,0.9977420265311883,5840.492515949532,16.0,16,0,0,16,0,0,0,0,7086
13,55,TA-QTCID,1.0,50,11500.0,0.9969070889521218,6197.613409673795,25.0,25,0,0,25,0,0,0,0,8083
14,56,TA-QTCID,1.0,50,11050.0,0.9973646066675451,5926.9683580789715,20.0,20,0,0,20,0,0,0,0,7589
15,57,TA-QTCID,1.0,50,12100.0,0.9977786488958579,6346.54732408002,17.0,17,0,0,17,0,0,0,0,7653
16,58,TA-QTCID,1.0,50,12000.0,0.9978861144140574,6252.197451900691,16.0,16,0,0,16,0,0,0,0,7569
17,59,TA-QTCID,1.0,50,11900.0,0.9975031210986267,6126.727355621755,18.0,18,0,0,18,0,0,0,0,7209
18,60,TA-QTCID,1.0,50,15550.0,0.9979682084379108,7842.039290193468,17.0,17,0,0,17,0,0,0,0,8367
19,61,TA-QTCID,1.0,50,12650.0,0.9977777777777778,6640.675977716222,19.0,18,0,1,18,0,1,1,1,8099
20,62,TA-QTCID,1.0,50,9650.0,0.9976395609583383,5621.978291157633,20.0,20,0,0,20,0,0,0,0,8473
21,63,TA-QTCID,1.0,50,9650.0,0.9982991131089782,5559.480650931597,14.0,14,0,0,14,0,0,0,0,8231
22,64,TA-QTCID,1.0,50,10300.0,0.9981235926945209,5760.090360278264,15.0,15,0,0,15,0,0,0,0,7994
23,65,TA-QTCID,1.0,50,10850.0,0.9970041193359132,5955.200118940324,25.0,24,0,1,24,0,1,1,1,8010
24,66,TA-QTCID,1.0,50,12300.0,0.9979353898469759,6560.451878011227,17.0,17,0,0,17,0,0,0,0,8234
25,67,TA-QTCID,1.0,50,12350.0,0.9984257281007534,6723.234588859603,14.0,14,0,0,14,0,0,0,0,8893
26,68,TA-QTCID,1.0,50,11600.0,0.9979153094462541,6138.934080509469,16.0,16,0,0,16,0,0,0,0,7675
27,69,TA-QTCID,1.0,50,12500.0,0.9985242964056077,6918.8982994146645,14.0,14,0,0,14,0,0,0,0,9487
28,70,TA-QTCID,1.0,50,10800.0,0.998641304347826,5797.442542843521,10.0,10,0,0,10,0,0,0,0,7360
29,71,TA-QTCID,1.0,50,11650.0,0.9979452934377809,6199.611593222246,16.0,16,0,0,16,0,0,0,0,7787
30,72,TA-QTCID,1.0,50,9200.0,0.9981692719335304,5117.802962588146,13.0,13,0,0,13,0,0,0,0,7101
31,73,TA-QTCID,1.0,50,14300.0,0.9982795129698253,7115.709481714293,13.0,13,0,0,13,0,0,0,0,7556
32,74,TA-QTCID,1.0,50,10600.0,0.9985482380889534,5765.6298788730055,11.0,11,0,0,11,0,0,0,0,7577
33,75,TA-QTCID,1.0,50,10300.0,0.9979458210296572,5698.364295851439,16.0,16,0,0,16,0,0,0,0,7789
34,76,TA-QTCID,1.0,50,14600.0,0.9980542520315898,7524.130274461582,18.0,16,1,1,16,1,1,1,1,8736
35,77,TA-QTCID,1.0,50,11200.0,0.9975150405440754,5996.093636626378,19.0,19,0,0,19,0,0,0,0,7646
36,78,TA-QTCID,1.0,50,8350.0,0.9968309859154929,4487.761857841164,18.0,17,1,0,17,1,0,0,0,5680
37,79,TA-QTCID,1.0,50,12050.0,0.9983203359328134,6445.071619138122,14.0,14,0,0,14,0,0,0,0,8335
38,80,TA-QTCID,1.0,50,7550.0,0.9972127593682255,4381.2052607592195,19.0,18,0,1,18,0,1,1,1,6457
39,81,TA-QTCID,1.0,50,12500.0,0.9984913251194367,6596.241124970838,13.0,12,0,1,12,0,1,1,1,7953
40,82,TA-QTCID,1.0,50,9250.0,0.9984055275046505,5235.319892862812,12.0,12,0,0,12,0,0,0,0,7526
41,83,TA-QTCID,1.0,50,11200.0,0.9977783948903083,5866.468901406974,16.0,16,0,0,16,0,0,0,0,7202
42,84,TA-QTCID,1.0,50,10600.0,0.9980283911671924,5744.025756306946,15.0,15,0,0,15,0,0,0,0,7608
